"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2000","AQS","201070002","1","0.05","ppm","46","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/02/2000","AQS","201070002","1","0.027","ppm","25","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/03/2000","AQS","201070002","1","0.021","ppm","19","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/04/2000","AQS","201070002","1","0.021","ppm","19","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/05/2000","AQS","201070002","1","0.034","ppm","31","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/06/2000","AQS","201070002","1","0.016","ppm","15","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/07/2000","AQS","201070002","1","0.032","ppm","30","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/08/2000","AQS","201070002","1","0.029","ppm","27","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/09/2000","AQS","201070002","1","0.027","ppm","25","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/10/2000","AQS","201070002","1","0.036","ppm","33","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/11/2000","AQS","201070002","1","0.035","ppm","32","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/12/2000","AQS","201070002","1","0.028","ppm","26","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/13/2000","AQS","201070002","1","0.02","ppm","19","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/14/2000","AQS","201070002","1","0.033","ppm","31","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/15/2000","AQS","201070002","1","0.038","ppm","35","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/16/2000","AQS","201070002","1","0.027","ppm","25","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/17/2000","AQS","201070002","1","0.009","ppm","8","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/18/2000","AQS","201070002","1","0.014","ppm","13","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/19/2000","AQS","201070002","1","0.027","ppm","25","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/20/2000","AQS","201070002","1","0.032","ppm","30","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/21/2000","AQS","201070002","1","0.031","ppm","29","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/22/2000","AQS","201070002","1","0.035","ppm","32","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/23/2000","AQS","201070002","1","0.028","ppm","26","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/24/2000","AQS","201070002","1","0.031","ppm","29","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/25/2000","AQS","201070002","1","0.034","ppm","31","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/26/2000","AQS","201070002","1","0.031","ppm","29","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/27/2000","AQS","201070002","1","0.029","ppm","27","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/28/2000","AQS","201070002","1","0.026","ppm","24","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/29/2000","AQS","201070002","1","0.024","ppm","22","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/30/2000","AQS","201070002","1","0.031","ppm","29","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"01/31/2000","AQS","201070002","1","0.038","ppm","35","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"02/01/2000","AQS","201070002","1","0.032","ppm","30","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
"02/02/2000","AQS","201070002","1","0.034","ppm","31","MINE CREEK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.135882","-94.731988"
