GEOID10,Date,n,severity,median
29095015400,2010-06-03,0,NA,38.950000000000045
29095015900,2010-06-03,0,NA,39.23000000000002
29095015700,2010-06-03,0,NA,37.93000000000001
29095000600,2010-06-03,0,NA,36.93000000000001
29095000700,2010-06-03,0,NA,36.13000000000005
29095000800,2010-06-03,0,NA,35.610000000000014
29095000900,2010-06-03,0,NA,35.99000000000001
29095015800,2010-06-03,0,NA,37.83000000000004
29095016000,2010-06-03,0,NA,38.79000000000002
29095016500,2010-06-03,0,NA,36.53000000000003
29095016100,2010-06-03,0,NA,39.650000000000034
29095016200,2010-06-03,0,NA,37.83000000000004
29095017100,2010-06-03,0,NA,35.33000000000004
29095001900,2010-06-03,0,NA,36.950000000000045
29095002200,2010-06-03,1,1,36.83000000000004
29095002300,2010-06-03,0,NA,37.950000000000045
29095003400,2010-06-03,0,NA,35.99000000000001
29095005700,2010-06-03,0,NA,36.610000000000014
29095005801,2010-06-03,0,NA,35.89000000000004
29095016400,2010-06-03,0,NA,35.99000000000001
29095016600,2010-06-03,0,NA,37.59000000000003
29095016700,2010-06-03,0,NA,36.410000000000025
29095017800,2010-06-03,0,NA,36.410000000000025
29095016800,2010-06-03,0,NA,37.450000000000045
29095016900,2010-06-03,0,NA,36.63000000000005
29095000300,2010-06-04,0,NA,32.75000000000006
29095001000,2010-06-04,0,NA,33.150000000000034
29095001100,2010-06-04,0,NA,35.03000000000003
29095001800,2010-06-04,0,NA,NA
29095003700,2010-06-04,0,NA,NA
29095003800,2010-06-04,0,NA,NA
29095004300,2010-06-04,0,NA,35.33000000000004
29095004400,2010-06-04,0,NA,35.33000000000004
29095004600,2010-06-04,0,NA,33.23000000000002
29095005100,2010-06-04,0,NA,33.23000000000002
29095005200,2010-06-04,0,NA,33.77000000000004
29095005300,2010-06-04,0,NA,33.23000000000002
29095005400,2010-06-04,0,NA,33.89000000000004
29095005500,2010-06-04,0,NA,NA
29095005601,2010-06-04,0,NA,33.89000000000004
29095005602,2010-06-04,1,1,NA
29095006000,2010-06-04,0,NA,NA
29095006100,2010-06-04,0,NA,NA
29095006300,2010-06-04,0,NA,NA
29095006500,2010-06-04,0,NA,33.23000000000002
29095006600,2010-06-04,0,NA,NA
29095006700,2010-06-04,0,NA,33.23000000000002
29095006900,2010-06-04,0,NA,NA
29095007100,2010-06-04,0,NA,NA
29095007300,2010-06-04,0,NA,NA
29095015300,2010-06-04,0,NA,35.03000000000003
29095015200,2010-06-04,0,NA,33.870000000000005
29095015400,2010-06-04,0,NA,35.03000000000003
29095015900,2010-06-04,0,NA,35.03000000000003
29095015700,2010-06-04,0,NA,35.03000000000003
29095000600,2010-06-04,0,NA,33.690000000000055
29095000700,2010-06-04,0,NA,33.57000000000005
29095000800,2010-06-04,0,NA,33.25000000000006
29095000900,2010-06-04,0,NA,33.25000000000006
29095015800,2010-06-04,0,NA,35.03000000000003
29095016000,2010-06-04,0,NA,NA
29095016500,2010-06-04,0,NA,NA
29095016100,2010-06-04,0,NA,35.03000000000003
29095016200,2010-06-04,0,NA,35.33000000000004
29095017100,2010-06-04,0,NA,NA
29095001900,2010-06-04,0,NA,NA
29095002200,2010-06-04,0,NA,NA
29095002300,2010-06-04,0,NA,NA
29095003400,2010-06-04,0,NA,NA
29095005700,2010-06-04,0,NA,NA
29095005801,2010-06-04,0,NA,NA
29095016400,2010-06-04,0,NA,NA
29095016600,2010-06-04,0,NA,33.89000000000004
29095016700,2010-06-04,0,NA,33.51000000000005
29095017800,2010-06-04,0,NA,33.650000000000034
29095016800,2010-06-04,0,NA,33.23000000000002
29095016900,2010-06-04,0,NA,33.23000000000002
29095000300,2010-06-05,0,NA,NA
29095001000,2010-06-05,0,NA,NA
29095001100,2010-06-05,0,NA,NA
29095001800,2010-06-05,0,NA,NA
29095003700,2010-06-05,0,NA,NA
29095003800,2010-06-05,0,NA,NA
29095004300,2010-06-05,0,NA,NA
29095004400,2010-06-05,0,NA,NA
29095004600,2010-06-05,0,NA,NA
29095005100,2010-06-05,0,NA,NA
29095005200,2010-06-05,0,NA,NA
29095005300,2010-06-05,0,NA,NA
29095005400,2010-06-05,0,NA,NA
29095005500,2010-06-05,0,NA,NA
29095005601,2010-06-05,0,NA,NA
29095005602,2010-06-05,0,NA,NA
29095006000,2010-06-05,0,NA,NA
29095006100,2010-06-05,0,NA,NA
29095006300,2010-06-05,0,NA,NA
29095006500,2010-06-05,0,NA,NA
29095006600,2010-06-05,0,NA,NA
29095006700,2010-06-05,0,NA,NA
29095006900,2010-06-05,0,NA,NA
29095007100,2010-06-05,0,NA,NA
29095007300,2010-06-05,0,NA,NA
29095015300,2010-06-05,0,NA,NA
29095015200,2010-06-05,0,NA,NA
29095015400,2010-06-05,0,NA,NA
29095015900,2010-06-05,0,NA,NA
29095015700,2010-06-05,0,NA,NA
29095000600,2010-06-05,0,NA,NA
29095000700,2010-06-05,0,NA,NA
29095000800,2010-06-05,0,NA,NA
29095000900,2010-06-05,0,NA,NA
29095015800,2010-06-05,0,NA,NA
29095016000,2010-06-05,0,NA,NA
29095016500,2010-06-05,0,NA,NA
29095016100,2010-06-05,0,NA,NA
29095016200,2010-06-05,0,NA,NA
29095017100,2010-06-05,0,NA,NA
29095001900,2010-06-05,0,NA,NA
29095002200,2010-06-05,0,NA,NA
29095002300,2010-06-05,0,NA,NA
29095003400,2010-06-05,0,NA,NA
29095005700,2010-06-05,0,NA,NA
29095005801,2010-06-05,0,NA,NA
29095016400,2010-06-05,0,NA,NA
29095016600,2010-06-05,0,NA,NA
29095016700,2010-06-05,0,NA,NA
29095017800,2010-06-05,0,NA,NA
29095016800,2010-06-05,0,NA,NA
29095016900,2010-06-05,0,NA,NA
29095000300,2010-06-06,0,NA,35.29000000000002
29095001000,2010-06-06,0,NA,35.05000000000001
29095001100,2010-06-06,0,NA,35.01000000000005
29095001800,2010-06-06,0,NA,36.450000000000045
29095003700,2010-06-06,0,NA,36.710000000000036
29095003800,2010-06-06,0,NA,36.73000000000002
29095004300,2010-06-06,0,NA,36.23000000000002
29095004400,2010-06-06,0,NA,36.210000000000036
29095004600,2010-06-06,0,NA,33.23000000000002
29095005100,2010-06-06,0,NA,34.410000000000025
29095005200,2010-06-06,0,NA,35.690000000000055
29095005300,2010-06-06,0,NA,34.43000000000001
29095005400,2010-06-06,0,NA,35.150000000000034
29095005500,2010-06-06,0,NA,34.410000000000025
29095005601,2010-06-06,0,NA,35.150000000000034
29095005602,2010-06-06,0,NA,33.77000000000004
29095006000,2010-06-06,0,NA,33.51000000000005
29095006100,2010-06-06,0,NA,33.650000000000034
29095006300,2010-06-06,0,NA,34.610000000000014
29095006500,2010-06-06,0,NA,34.83000000000004
29095006600,2010-06-06,0,NA,34.81
29095006700,2010-06-06,0,NA,34.81
29095006900,2010-06-06,0,NA,33.75000000000006
29095007100,2010-06-06,0,NA,32.43000000000001
29095007300,2010-06-06,0,NA,33.110000000000014
29095015300,2010-06-06,0,NA,36.29000000000002
29095015200,2010-06-06,0,NA,35.01000000000005
29095015400,2010-06-06,0,NA,36.13000000000005
29095015900,2010-06-06,0,NA,35.57000000000005
29095015700,2010-06-06,0,NA,35.690000000000055
29095000600,2010-06-06,0,NA,34.97000000000003
29095000700,2010-06-06,0,NA,34.650000000000034
29095000800,2010-06-06,0,NA,34.370000000000005
29095000900,2010-06-06,0,NA,34.53000000000003
29095015800,2010-06-06,0,NA,36.35000000000002
29095016000,2010-06-06,0,NA,36.75000000000006
29095016500,2010-06-06,0,NA,35.210000000000036
29095016100,2010-06-06,0,NA,36.650000000000034
29095016200,2010-06-06,0,NA,36.35000000000002
29095017100,2010-06-06,0,NA,32.83000000000004
29095001900,2010-06-06,0,NA,35.150000000000034
29095002200,2010-06-06,0,NA,34.33000000000004
29095002300,2010-06-06,0,NA,35.630000000000024
29095003400,2010-06-06,0,NA,33.53000000000003
